n_lines,mean_angle,std_angle,mean_abs_angle,mean_length,max_length,left_count,right_count,balance_lr,center_bottom,center_error,vanishing_x,vanishing_error,confidence,omega_true,oracle_confidence,frame_ts_ns
45.0,0.10821158217743256,0.6210997983021892,0.4341130323528106,88.84307098388672,289.587646484375,24.0,21.0,-0.06666666666666667,310.5501615746181,-0.02953074507931852,297.0,-0.071875,1.0,-0.04705118812028984,0.75,1779451117828581999
46.0,0.11501375328932655,0.5816593558089285,0.37219845995814144,82.6026840209961,273.1226806640625,24.0,22.0,-0.043478260869565216,309.10541401273883,-0.03404558121019115,278.09100341796875,-0.13096561431884765,1.0,-0.04530878377754475,0.75,1779451117862012140
45.0,0.13510599525708508,0.6144945394472967,0.4363100348274431,92.17314147949219,273.1226806640625,23.0,22.0,-0.022222222222222223,310.0778733623323,-0.03100664574271157,276.4552307128906,-0.1360774040222168,1.0,-0.044680423528039755,0.75,1779451117895645885
47.0,0.08375135361614269,0.6009571086199156,0.40105083549376386,90.7823486328125,289.587646484375,22.0,25.0,0.06382978723404255,308.95414880587873,-0.03451828498162897,280.84906005859375,-0.12234668731689453,1.0,-0.046394883045051634,0.75,1779451117928006862
47.0,0.09261216223239899,0.5651096701622009,0.3837771713733673,83.6102066040039,273.1226806640625,21.0,26.0,0.10638297872340426,314.0625,-0.0185546875,279.5501403808594,-0.12640581130981446,1.0,-0.0638411724837473,0.5,1779451117962309626
51.0,0.1060753035035953,0.6104595175286741,0.42927987693006403,85.6059341430664,309.1876525878906,26.0,25.0,-0.0196078431372549,301.8018018018018,-0.05686936936936941,272.19830322265625,-0.14938030242919922,1.0,-0.047056539105770755,0.75,1779451117995400805
44.0,0.11981682272226855,0.612183418459663,0.41954002152896624,92.07628631591797,289.587646484375,21.0,23.0,0.045454545454545456,314.8124400996741,-0.016211124688518375,390.7919921875,0.2212249755859375,1.0,-0.04704207129953093,0.75,1779451118028345703
47.0,0.10454837189751517,0.6150276442721329,0.3920814637146456,91.58487701416016,315.572509765625,24.0,23.0,-0.02127659574468085,309.32092198581563,-0.03337211879432615,283.0411071777344,-0.11549654006958007,1.0,-0.053036782309878745,1.0,1779451118061546709
44.0,0.134454752789747,0.6415773535304813,0.4361817150601315,99.06802368164062,309.1876525878906,25.0,19.0,-0.13636363636363635,308.75,-0.03515625,275.1077880859375,-0.1402881622314453,1.0,-0.04956341735334682,1.0,1779451118095769303
43.0,0.10117319226264954,0.5574612617492676,0.37354567646980286,92.05181884765625,289.587646484375,21.0,22.0,0.023255813953488372,309.88236003861005,-0.03161762487934361,313.61962890625,-0.01993865966796875,1.0,-0.0638411724837473,0.5,1779451118131822959
46.0,0.0949083552722233,0.5841388948481924,0.3854944485913983,88.63990020751953,288.9186706542969,21.0,25.0,0.08695652173913043,309.9553571428571,-0.03138950892857153,279.5128173828125,-0.12652244567871093,1.0,-0.050150401803101534,0.75,1779451118161958016
43.0,0.07030295580625534,0.6385462284088135,0.4470215141773224,98.33146667480469,288.9186706542969,19.0,24.0,0.11627906976744186,310.7083333333333,-0.029036458333333393,280.06500244140625,-0.12479686737060547,1.0,-0.05841997318244571,0.75,1779451118196137148
45.0,0.05715758335115398,0.6409964450794248,0.42552817606947707,92.94706726074219,286.7629699707031,21.0,24.0,0.06666666666666667,310.353516934943,-0.030145259578303118,275.0,-0.140625,1.0,-0.03627520156074023,1.0,1779451118228209191
48.0,0.1423811432374061,0.6441867588239971,0.4529269642518874,91.19792938232422,287.50653076171875,23.0,25.0,0.041666666666666664,316.3923611111111,-0.011273871527777857,390.6678771972656,0.22083711624145508,1.0,-0.049360706556833694,1.0,1779451118261225619
44.0,0.05364428238626791,0.6308980441127854,0.4302833047511417,95.7257080078125,287.50653076171875,22.0,22.0,0.0,309.1079637798932,-0.034037613187833674,276.25390625,-0.13670654296875,1.0,-0.04446157726634738,0.75,1779451118295188125
45.0,0.07357455032837276,0.5861977609945364,0.373110010767366,90.84978485107422,288.9186706542969,23.0,22.0,-0.022222222222222223,308.75,-0.03515625,275.0,-0.140625,1.0,-0.05040858275055845,0.75,1779451118328264534
43.0,0.07772193849086761,0.619900643825531,0.4219975173473358,93.66929626464844,288.9186706542969,19.0,24.0,0.11627906976744186,310.2246835443038,-0.030547863924050667,279.66485595703125,-0.12604732513427735,1.0,-0.04814444205930442,0.75,1779451118361234064
45.0,0.0830816775560379,0.5665323138237,0.3801380693912506,93.2171859741211,288.9186706542969,23.0,22.0,-0.022222222222222223,312.4766611097881,-0.0235104340319122,280.2078857421875,-0.12435035705566407,1.0,-0.060448219172732395,0.5,1779451118397939671
41.0,0.1567746966500519,0.6700843533596681,0.47826455093422787,90.194091796875,286.7629699707031,21.0,20.0,-0.024390243902439025,309.9595521849043,-0.031376399422174114,282.2740478515625,-0.11789360046386718,1.0,-0.05186490113057579,1.0,1779451118428939796
45.0,0.09189820881789146,0.5931081131961317,0.38196552466457306,89.01348876953125,289.587646484375,22.0,23.0,0.022222222222222223,317.0,-0.009375,273.53997802734375,-0.1451875686645508,1.0,-0.04488268178963325,0.75,1779451118460760928
43.0,0.04119312111570965,0.6070157605546258,0.3855911583646288,90.37535095214844,307.7742614746094,24.0,19.0,-0.11627906976744186,307.9635164835165,-0.03761401098901089,280.832275390625,-0.12239913940429688,1.0,-0.04937639518133853,0.75,1779451118495975696
47.0,0.09060064719336988,0.583038384372216,0.3816274719219755,88.1526870727539,309.9193420410156,24.0,23.0,-0.02127659574468085,308.76895734597156,-0.03509700829383888,377.6454162597656,0.18014192581176758,1.0,-0.04467151061706118,0.75,1779451118528554520
47.0,0.05379244338145391,0.6074028603709878,0.403031155449804,93.47750091552734,314.1592102050781,21.0,26.0,0.10638297872340426,309.2567567567568,-0.03357263513513509,385.21673583984375,0.20380229949951173,1.0,-0.06475696641899226,0.75,1779451118562059603
